id,genus,family,order
21582,Dyckia,Bromeliaceae,Poales
21583,Eriophyllum,Asteraceae,Asterales
21584,Struthiola,Thymelaeaceae,Malvales
21585,Marsdenia,Apocynaceae,Gentianales
21586,Oxalis,Oxalidaceae,Oxalidales
21587,Ribes,Grossulariaceae,Saxifragales
21588,Dioscorea,Dioscoreaceae,Dioscoreales
21589,Leucophyllum,Scrophulariaceae,Lamiales
21590,Abutilon,Malvaceae,Malvales
21591,Prunus,Rosaceae,Rosales
21592,Helianthus,Asteraceae,Asterales
21593,Carex,Cyperaceae,Poales
21594,Hoehnea,Lamiaceae,Lamiales
21595,Ambrosia,Asteraceae,Asterales
21596,Boehmeria,Urticaceae,Rosales
21597,Cremanthodium,Asteraceae,Asterales
21598,Passiflora,Passifloraceae,Malpighiales
21599,Phyllanthus,Phyllanthaceae,Malpighiales
21600,Eriophorum,Cyperaceae,Poales
21601,Pedicularis,Orobanchaceae,Lamiales
21602,Euphorbia,Euphorbiaceae,Malpighiales
21603,Aquilegia,Ranunculaceae,Ranunculales
21604,Draba,Brassicaceae,Brassicales
21605,Aegilops,Poaceae,Poales
21606,Cyperus,Cyperaceae,Poales
21607,Tetragonia,Aizoaceae,Caryophyllales
21608,Stellaria,Caryophyllaceae,Caryophyllales
21609,Hibbertia,Dilleniaceae,Dilleniales
21610,Buddleja,Scrophulariaceae,Lamiales
21611,Costus,Costaceae,Zingiberales
21612,Swartzia,Fabaceae,Fabales
21613,Bromus,Poaceae,Poales
21614,Hibbertia,Dilleniaceae,Dilleniales
21615,Calceolaria,Calceolariaceae,Lamiales
21616,Lachenalia,Asparagaceae,Asparagales
21617,Isoetes,Isoetaceae,Isoetales
21618,Casearia,Salicaceae,Malpighiales
21619,Piriqueta,Passifloraceae,Malpighiales
21620,Schnella,Fabaceae,Fabales
21621,Isodendrion,Violaceae,Malpighiales
21622,Pimelea,Thymelaeaceae,Malvales
21623,Pilosocereus,Cactaceae,Caryophyllales
21624,Elattostachys,Sapindaceae,Sapindales
21625,Cycnoches,Orchidaceae,Asparagales
21626,Pomaria,Fabaceae,Fabales
21627,Mesembryanthemum,Aizoaceae,Caryophyllales
21628,Juncus,Juncaceae,Poales
21629,Rhododendron,Ericaceae,Ericales
21630,Erigeron,Asteraceae,Asterales
21631,Corchorus,Malvaceae,Malvales
21632,Tanacetum,Asteraceae,Asterales
21633,Brachypodium,Poaceae,Poales
21634,Rauia,Rutaceae,Sapindales
21635,Lysimachia,Primulaceae,Ericales
21636,Doellia,Asteraceae,Asterales
21637,Piper,Piperaceae,Piperales
21638,Silene,Caryophyllaceae,Caryophyllales
21639,Vernonia,Asteraceae,Asterales
21640,Hibiscus,Malvaceae,Malvales
21641,Puya,Bromeliaceae,Poales
21642,Desmodium,Fabaceae,Fabales
21643,Symplocos,Symplocaceae,Ericales
21644,Calamagrostis,Poaceae,Poales
21645,Hyparrhenia,Poaceae,Poales
21646,Gustavia,Lecythidaceae,Ericales
21647,Alcantarea,Bromeliaceae,Poales
21648,Dendrobium,Orchidaceae,Asparagales
21649,Salvia,Lamiaceae,Lamiales
21650,Virola,Myristicaceae,Magnoliales
21651,Anemia,Anemiaceae,Schizaeales
21652,Quercus,Fagaceae,Fagales
21653,Potentilla,Rosaceae,Rosales
21654,Chiococca,Rubiaceae,Gentianales
21655,Dendrobium,Orchidaceae,Asparagales
21656,Lepidium,Brassicaceae,Brassicales
21657,Chylismia,Onagraceae,Myrtales
21658,Astraea,Euphorbiaceae,Malpighiales
21659,Corybas,Orchidaceae,Asparagales
21660,Saurauia,Actinidiaceae,Ericales
21661,Corydalis,Papaveraceae,Ranunculales
21662,Orbivestus,Asteraceae,Asterales
21663,Cassiope,Ericaceae,Ericales
21664,Calea,Asteraceae,Asterales
21665,Melaleuca,Myrtaceae,Myrtales
21666,Arum,Araceae,Alismatales
21667,Ardisia,Primulaceae,Ericales
21668,Elaphoglossum,Dryopteridaceae,Polypodiales
21669,Thelionema,Asphodelaceae,Asparagales
21670,Angelonia,Plantaginaceae,Lamiales
21671,Pavieasia,Sapindaceae,Sapindales
21672,Vanilla,Orchidaceae,Asparagales
21673,Rhododendron,Ericaceae,Ericales
21674,Primula,Primulaceae,Ericales
21675,Paepalanthus,Eriocaulaceae,Poales
21676,Caulanthus,Brassicaceae,Brassicales
21677,Iris,Iridaceae,Asparagales
